file	num_segments	duration_seconds	num_words
SJ213.1.mpg	8	31	112
R1032.1.mpg	31	172	497
SJ73.1.mpg	88	480	1276
SJ196.1.mpg	70	274	909
SJ119.1.mpg	31	125	343
R1033.1.mpg	63	321	987
SJ51B.1.mpg	32	123	320
SJ51A.1.mpg	83	378	844
SJ63.1.mpg	73	436	1200
R1205.1.mpg	119	303	1030
SJ35.1.mpg	134	448	1202
SJ216.1.mpg	83	485	1302
SJ-ISAM.1.mpg	183	896	2347
SJ218.1.mpg	16	48	186
SJ111.1.mpg	5	27	75
SJA9B.1.mpg	13	94	291
SJ3.1.mpg	20	79	264
SJ36.1.mpg	165	908	2398
SJA67.1.mpg	110	509	1498
SJ100.1.mpg	87	503	1190
SJ188.1.mpg	92	249	694
SJ70.1.mpg	39	160	477
SJ146.1.mpg	109	503	1330
SJ30.1.mpg	5	23	60
SJ173B.1.mpg	66	322	760
SJ173C.1.mpg	63	361	933
SJ143.1.mpg	48	178	591
SJ173A.1.mpg	108	641	1601
Nuet19C.1.mpg	86	349	1130
Nuet36A.1.mpg	104	381	1290
Nuet35A.1.mpg	140	493	1722
Nuet24A.1.mpg	118	396	1469
Nuet33A.1.mpg	80	294	1057
Nuet39A.1.mpg	87	298	1082
Nuet30A.1.mpg	81	301	1060
Nuet22B.1.mpg	6	33	114
Nuet42A.1.mpg	94	386	1348
Nuet19H.1.mpg	86	302	1060
Nuet25C.1.mpg	8	27	85
Nuet48A.1.mpg	121	432	1370
Nuet18A.1.mpg	133	492	1676
Nuet19F.1.mpg	126	388	1285
Nuet45A.1.mpg	91	337	1186
Nuet25A.1.mpg	82	313	1055
Nuet46A.1.mpg	91	346	1324
Nuet20A.1.mpg	89	308	1070
Nuet44C.1.mpg	1	0	1
Nuet48C.1.mpg	43	153	425
Nuet19G.1.mpg	93	370	1126
Nuet26A.1.mpg	84	387	1201
Nuet27A.1.mpg	124	381	1373
Nuet31A.1.mpg	76	301	1008
Nuet23A.1.mpg	71	352	1121
Nuet43A.1.mpg	90	403	1212
Nuet16A.1.mpg	94	296	1074
Nuet21.1.mpg	35	127	428
Nuet19J.1.mpg	88	310	1055
Nuet14.1.mpg	113	362	1321
Nuet19D.1.mpg	70	236	812
Nuet19I.1.mpg	114	330	1274
Nuet15C.1.mpg	3	21	80
Nuet19B.1.mpg	77	242	816
Nuet27B.1.mpg	5	25	79
Nuet19A.1.mpg	112	312	1041
Nuet34A.1.mpg	105	355	1127
Nuet47A.1.mpg	78	273	937
Nuet29A.1.mpg	116	413	1361
Nuet22A.1.mpg	63	241	884
Nuet41B.1.mpg	36	179	544
Nuet17A.1.mpg	72	321	1118
Nuet38A.1.mpg	102	383	1305
Nuet15B.1.mpg	38	144	534
Nuet32A.1.mpg	84	314	1119
Nuet15A.1.mpg	94	379	1270
Nuet19E.1.mpg	115	380	1265
Nuet41A.1.mpg	87	324	1112
Nuet28A.1.mpg	84	358	1203
Nuet49A.1.mpg	88	327	1126
Nuet40.1.mpg	117	357	1205
Nuet37.1.mpg	88	335	1144
Nuet103C.1.mpg	86	379	1184
Nuet88.1.mpg	85	323	1190
Nuet99A.1.mpg	95	314	1096
Nuet101A.1.mpg	79	328	1144
Nuet94B.1.mpg	49	200	605
Nuet96A.1.mpg	82	338	1066
Nuet102A.1.mpg	98	333	1200
Nuet93A.1.mpg	111	382	1260
Nuet97A.1.mpg	77	315	1059
Nuet92A.1.mpg	116	460	1380
Nuet100C.1.mpg	39	146	525
Nuet100A.1.mpg	97	388	1252
Nuet89A.1.mpg	74	318	1027
Nuet102B.1.mpg	1	0	2
Nuet91A.1.mpg	139	419	1414
Nuet87A.1.mpg	97	358	1217
Nuet98A.1.mpg	90	302	1010
Nuet90A.1.mpg	121	419	1379
Nuet103B.1.mpg	104	370	1340
Nuet94A.1.mpg	77	272	973
Nuet103A.1.mpg	102	411	1322
Nuet95A.1.mpg	67	284	959
Nuet104-6.1.mpg	170	385	1510
Nuet104-3.1.mpg	76	216	792
Nuet104-1.1.mpg	55	250	557
Nuet104-5.1.mpg	109	330	924
Nuet104-2.1.mpg	123	288	1004
Nuet104-4.1.mpg	127	347	1192
Nuet13A.1.mpg	81	342	1146
Nuet6A.1.mpg	67	283	921
Nuet12.1.mpg	60	258	893
Nuet7B.1.mpg	60	141	566
Nuet4A.1.mpg	79	235	871
Nuet2A.1.mpg	112	412	1300
Nuet3A.1.mpg	77	272	846
Nuet10A.1.mpg	77	310	1030
Nuet1A.1.mpg	85	333	937
Nuet11A.1.mpg	82	331	1235
Nuet9A.1.mpg	97	268	1117
Nuet7A.1.mpg	80	292	991
Nuet8A.1.mpg	68	265	920
MOT.1.mpg	118	369	1306
Nuet50A.1.mpg	102	354	1203
Nuet61A.1.mpg	90	363	1093
Nuet59A.1.mpg	70	296	939
Nuet58.1.mpg	107	372	1181
Nuet51A.1.mpg	80	326	1040
Nuet71A.1.mpg	107	335	1141
Nuet83A.1.mpg	107	425	1332
Nuet55D.1.mpg	32	79	307
Nuet86A.1.mpg	92	292	1074
Nuet79A.1.mpg	93	338	1190
Nuet75A.1.mpg	101	324	1122
Nuet52A.1.mpg	86	325	1150
Nuet78A.1.mpg	65	271	925
Nuet85A.1.mpg	101	315	1189
Nuet69A.1.mpg	135	418	1436
Nuet67C.1.mpg	54	102	442
Nuet63A.1.mpg	68	263	905
Nuet74A.1.mpg	86	376	1145
Nuet57A.1.mpg	96	360	1200
Nuet77A.1.mpg	117	352	1150
Nuet70A.1.mpg	79	392	1175
Nuet76A.1.mpg	107	384	1264
Nuet53A.1.mpg	63	254	923
Nuet66A.1.mpg	108	409	1324
Nuet67A.1.mpg	101	369	1259
Nuet72A.1.mpg	101	320	1130
Nuet64A.1.mpg	79	310	1098
Nuet65A.1.mpg	71	347	1103
Nuet60A.1.mpg	92	370	1259
Nuet62A.1.mpg	83	300	1031
Nuet68B.1.mpg	78	349	911
Nuet73A.1.mpg	91	297	1006
Nuet56.1.mpg	99	344	1203
Nuet54A.1.mpg	107	447	1513
Nuet87B.1.mpg	2	3	9
Nuet66B.1.mpg	42	182	496
Nuet84A.1.mpg	115	340	1246
Nuet63B.1.mpg	69	271	835
Nuet81C.1.mpg	51	239	730
Nuet82A.1.mpg	90	380	1125
Nuet81A.1.mpg	118	344	1184
Nuet80A.1.mpg	84	290	1053
Nuet49C.1.mpg	1	0	3
Nuet66D.1.mpg	90	324	982
Nuet68A.1.mpg	82	325	958
Nuet55A.1.mpg	130	474	1683
Nuet64B.1.mpg	39	160	546
XA_TF08-0348.mpg	56	148	441
XA_TF08-0350.mpg	50	210	508
ufa700.mpg	28	153	487
ufa601.mpg	21	115	368
ufa671.mpg	43	222	594
XA_TF08-0349.mpg	44	98	284
XA_TF10-5066.mpg	59	227	745
XA_TF08-0351.mpg	52	218	598
XA_TF08-0352.mpg	60	173	495
Kino280A.1.mpg	122	480	1457
Kino68A.1.mpg	83	494	1255
Kino213B.1.mpg	102	790	1906
Kino87.1.mpg	103	530	1471
Kino88.1.mpg	80	427	1166
Kino50.1.mpg	130	627	1864
Kino69.1.mpg	111	457	1314
Kino49.1.mpg	129	555	1633
Kino295A-B.1.mpg	140	922	2659
Kino247A-B.1.mpg	129	586	1667
Kino180.1.mpg	38	180	472
Kino166B.1.mpg	100	402	1090
Kino130.1.mpg	117	508	1417
Kino309.1.mpg	6	14	48
Kino114.1.mpg	154	560	1671
Kino308.1.mpg	95	337	873
Kino275.1.mpg	122	725	1849
Kino131A-B.1.mpg	312	489	1960
Kino183.1.mpg	55	172	595
Kino292.1.mpg	102	569	1469
Kino269.1.mpg	70	473	1213
Kino197C.1.mpg	175	359	1612
Kino140.1.mpg	18	95	280
Kino202.1.mpg	75	236	550
Kino146A-B.1.mpg	233	1007	3111
Kino230.1.mpg	45	239	618
Kino192.1.mpg	177	300	1037
Kino273.1.mpg	70	460	1209
Kino241.1.mpg	118	575	1313
Kino61.1.mpg	81	304	849
Kino141.1.mpg	58	143	524
Kino267.1.mpg	77	398	1054
Kino245.1.mpg	31	144	337
Kino268.1.mpg	72	417	1000
Kino256.1.mpg	56	190	483
Kino277.1.mpg	83	523	1298
Kino266.1.mpg	105	465	1446
Kino614.1.mpg	58	257	670
Kino47.1.mpg	81	421	1101
Kino155A.1.mpg	54	219	635
Kino70C.1.mpg	81	157	527
Kino248.1.mpg	48	265	640
Kino242.1.mpg	60	268	791
Kino70B.1.mpg	161	178	974
Kino70A.1.mpg	203	285	1223
Kino197B.1.mpg	280	449	1923
Kino84.1.mpg	46	190	530
Kino190C.1.mpg	120	202	797
Kino59.1.mpg	31	182	370
Kino121.1.mpg	29	57	216
Kino306A-D.1.mpg	632	1450	4987
Kino252.1.mpg	91	370	925
Kino279.1.mpg	78	298	919
Kino286.1.mpg	105	453	1265
Kino194B.1.mpg	114	200	884
Kino196.1.mpg	112	323	1026
Kino220.1.mpg	51	75	297
Kino290.1.mpg	91	424	1169
Kino255.1.mpg	100	569	1527
Kino199.1.mpg	123	505	1310
Kino177A.1.mpg	71	284	716
Kino223.1.mpg	61	329	810
Kino72.1.mpg	136	607	1680
Kino212.1.mpg	58	226	675
Kino224.1.mpg	102	412	1261
Kino251.1.mpg	91	574	1225
Kino182C.1.mpg	73	460	1269
Kino73.1.mpg	122	558	1511
Kino222.1.mpg	86	562	1183
Kino194C.1.mpg	154	271	1086
Kino227A.1.mpg	1	0	1
Kino250.1.mpg	117	377	1255
Kino253.1.mpg	75	394	1141
Kino19.1.mpg	26	156	370
Kino54.1.mpg	111	480	1378
Kino254.1.mpg	90	406	1271
Kino323A-B.1.mpg	125	672	1677
Kino349.1.mpg	23	164	417
Kino133.1.mpg	97	261	875
Kino166A.1.mpg	136	490	1409
Kino324A-B.1.mpg	64	277	827
Kino179C.1.mpg	21	90	212
Kino111A-I.1.mpg	825	1459	5844
Kino178B.1.mpg	58	170	462
Kino179B.1.mpg	28	157	406
Kino178A.1.mpg	72	153	516
Kino179A.1.mpg	49	195	530
Kino143E.1.mpg	1	1	1
Kino143D.1.mpg	13	30	46
Kino216.1.mpg	1	1	1
Kino237A.1.mpg	59	218	603
Kino237B.1.mpg	16	38	228
Kino80.1.mpg	168	439	1361
Kino44.1.mpg	113	396	1129
Kino37.1.mpg	31	136	364
Kino7.1.mpg	8	67	118
Kino214.1.mpg	57	313	812
Kino167.1.mpg	124	463	1493
Kino289A-C.1.mpg	228	1231	3135
Kino297A-D.1.mpg	265	1327	3492
Kino327A-C.1.mpg	145	917	2150
Kino318.1.mpg	67	151	493
Kino319B.1.mpg	134	371	1231
Kino284.1.mpg	98	476	1363
Kino319D.1.mpg	66	280	725
Kino271.1.mpg	69	399	1178
Kino197D.1.mpg	197	343	1567
Kino68B.1.mpg	100	523	1440
Kino319A.1.mpg	156	457	1500
Kino67.1.mpg	133	436	1581
Kino319C.1.mpg	136	433	1383
Kino283.1.mpg	105	456	1476
Kino278.1.mpg	99	463	1437
Kino310A-B.1.mpg	18	59	108
Kino221A-E.1.mpg	441	1536	3814
Kino131A.1.mpg	220	276	1386
Kino110.1 Tecknad reklamfilm 1926.mpg	24	39	123
Kino299A-B.1.mpg	114	636	1708
Kino14.1.mpg	90	249	907
Kino303AB.1.mpg	134	660	1719
Kino46.1.mpg	62	356	804
Kino86.1.mpg	72	231	947
Kino43.1.mpg	49	250	586
Kino75.1.mpg	36	210	476
Kino28.1.mpg	32	120	371
Kino45.1.mpg	70	364	900
Kino231.1.mpg	68	345	849
Kino270.1.mpg	86	418	1179
Kino195.1.mpg	182	395	1414
Kino232.1.mpg	100	509	1208
Kino215.1.mpg	1	0	4
Kino13B.1.mpg	41	222	438
Kino194D.1.mpg	70	230	727
Kino257.1.mpg	32	51	407
Kino265.1.mpg	121	581	1595
Kino18.1.mpg	17	89	180
Kino13A.1.mpg	46	221	474
Kino177B.1.mpg	80	339	876
Kino13E.1.mpg	22	122	284
Kino13C.1.mpg	41	160	386
Kino13D.1.mpg	36	163	364
Kino176.1.mpg	126	134	664
Kino320A-B.1.mpg	112	527	1406
Kino264.1.mpg	74	395	833
Kino9.1.mpg	4	2	8
Kino249.1.mpg	104	467	1382
Kino83.1.mpg	29	59	338
Kino85.1.mpg	93	364	1211
Kino229.1.mpg	83	378	1069
Kino263.1.mpg	89	416	1174
Kino236.1.mpg	105	656	1608
Kino200.1.mpg	139	412	1261
Kino313A.1.mpg	80	436	925
Kino282.1.mpg	76	360	973
Kino316.1.mpg	139	580	1622
Kino233.1.mpg	39	261	747
Kino246.1.mpg	76	405	1149
Kino185.1.mpg	5	4	36
Kino30.1.mpg	56	278	831
Kino313B.1.mpg	124	667	1572
Kino193.1.mpg	170	390	1156
Kino226.1.mpg	146	690	1941
Kino225.1.mpg	95	410	1147
Kino211.1.mpg	40	174	661
Kino351.1.mpg	23	204	483
Kino298D.1.mpg	58	241	650
Kino82.1.mpg	101	250	919
Kino298B.1.mpg	18	76	205
Kino298C.1.mpg	69	279	756
Kino298E.1.mpg	1	0	2
Kino298A.1.mpg	54	227	703
Kino325A-B.1.mpg	148	558	1538
Kino41.1.mpg	69	285	844
Kino48.1.mpg	39	182	477
Kino40.1.mpg	102	425	1185
Kino326.1.mpg	159	511	1521
Kino201.1.mpg	106	323	1005
Kino190A.1.mpg	43	188	533
Kino190B.1.mpg	24	123	284
Kino198.1.mpg	145	410	1221
Kino191.1.mpg	167	354	1254
Kino38.1.mpg	60	138	402
Kino197A.1.mpg	247	498	1640
Kino238.1.mpg	2	0	2
Kino259.1.mpg	141	472	1520
Kino296A-D.1.mpg	252	1364	3334
Kino272.1.mpg	118	598	1635
Kino301.1.mpg	83	448	1136
Kino258.1.mpg	5	10	71
Kino132.1.mpg	71	316	832
Kino291A-B.1.mpg	148	727	2244
Kino302A-B.1.mpg	138	673	1793
Kino228.1.mpg	176	403	1320
Kino312C.1.mpg	29	16	100
Kino322A-B.1.mpg	173	849	2362
Kino244.1.mpg	118	597	1572
Kino293.1.mpg	94	426	1322
Kino62.1.mpg	62	373	874
Kino194A.1.mpg	147	257	1190
Kino261A-B.1.mpg	152	763	2008
Kino78.1.mpg	108	435	1297
Kino240.1.mpg	93	413	1279
Kino53B.1.mpg	49	280	663
Kino182B.1.mpg	64	142	560
Kino239.1.mpg	70	352	1159
Kino53A.1.mpg	65	316	959
Kino31.1.mpg	138	468	1591
Kino165.1.mpg	75	288	938
Kino243.1.mpg	113	607	1568
Kino51.1.mpg	95	519	1293
Kino274B.1.mpg	87	452	1254
Kino274C.1.mpg	91	500	1368
Kino274A.1.mpg	82	437	1169
Kino274D.1.mpg	99	611	1508
Kino276A.1.mpg	68	364	1030
Kino213A.1.mpg	131	766	1714
Kino321A-B.1.mpg	77	416	854
SF2921.1.mpg	103	536	1545
SF1083B.1.mpg	144	507	1581
SF1087A.1.mpg	80	378	1255
SF2671B.1.mpg	98	258	865
SF2734.1.mpg	84	266	907
SF1112.1.mpg	114	499	1414
SF1107C.1.mpg	101	459	1396
SF1113B.1.mpg	24	97	300
SF2916.1.mpg	79	318	1091
SF1094B.1.mpg	62	211	654
SF1084.1.mpg	45	226	674
SF1083A.1.mpg	24	119	322
SF2671A.1.mpg	61	174	532
SF1107D.1.mpg	72	236	688
SF1107A.1.mpg	38	221	622
SF1091A.1.mpg	39	167	512
SF1106B.1.mpg	53	197	468
SF2739B.1.mpg	2	0	4
SF1092.1.mpg	34	145	465
SF2671C.1.mpg	61	153	512
SF2815.1.mpg	92	660	1529
SF2936.1.mpg	65	240	793
SF1079A.1.mpg	70	268	911
SF1082A.1.mpg	66	408	1113
SF1091B.1.mpg	89	237	962
SF2912.1.mpg	1	0	1
SF1093.1.mpg	44	172	544
SF1102B.1.mpg	40	122	384
SF1100.1.mpg	60	279	826
SF1109.1.mpg	105	316	1050
SF1105A.1.mpg	74	184	647
SF1991E.1.mpg	32	118	245
SF1094C.1.mpg	6	31	102
SF1086.1.mpg	27	151	422
SF2733.1.mpg	65	271	637
SF1078B.1.mpg	6	2	8
SF1089.1.mpg	76	282	948
SF1098A.1.mpg	42	244	754
SF2914.1.mpg	131	463	1372
SF2920.1.mpg	3	0	3
SF1991C.1.mpg	7	37	87
SF2926A-D.1.mpg	444	1435	4520
SF2692.1.mpg	203	369	1490
SF1104B.1.mpg	29	111	351
SF2794.1.mpg	59	178	599
SF1096B.1.mpg	22	84	265
SF1111C.1.mpg	52	163	485
SF1095.1.mpg	44	208	695
SF1081.1.mpg	92	314	1144
SF1107B.1.mpg	5	22	59
SF1875A-C.1.mpg	303	1051	3251
SF1108.1.mpg	56	209	700
SF1099A.1.mpg	92	246	878
SF1991A.1.mpg	49	213	448
SF2721.1.mpg	15	81	227
SF1099D.1.mpg	39	144	348
SF1111A.1.mpg	57	261	774
SF1096A.1.mpg	42	186	599
SF1078A.1.mpg	87	365	1151
SF1991D.1.mpg	16	26	84
SF2742A.1.mpg	20	84	199
SF1102A.1.mpg	40	149	493
SF1090.1.mpg	80	256	980
SF1102C.1.mpg	19	59	196
SF1099B.1.mpg	62	216	710
SF1110.1.mpg	41	178	530
SF2720.1.mpg	13	80	218
SF1991B.1.mpg	45	134	356
SF1103.1.mpg	70	256	816
SF1099C.1.mpg	11	43	132
SF1111B.1.mpg	46	147	515
SF1104A.1.mpg	54	224	758
SF2924.1.mpg	57	317	772
SF2949.1.mpg	121	309	1508
SF1087B.1.mpg	64	193	577
SF2735B.1.mpg	62	327	852
SF1105B.1.mpg	59	184	628
SF1088.1.mpg	65	307	909
SF1085.1.mpg	56	315	922
SF1101.1.mpg	55	205	628
SF1099E.1.mpg	33	93	206
SF2735A.1.mpg	58	339	822
SF1097.1.mpg	52	244	777
SF1104C.1.mpg	45	144	618
SF1094A.1.mpg	48	197	571
SF1113C.1.mpg	68	279	717
SF2799.1.mpg	147	699	1755
SF1106A.1.mpg	66	298	1010
SF2956.1.mpg	6	3	17
SF2915.1.mpg	110	441	1466
SF2740.1.mpg	59	246	752
SF2741.1.mpg	91	385	1087
SF1525.1.mpg	7	26	84
SF1534.1.mpg	86	411	1138
SF1552.1.mpg	82	354	950
SF1532.1.mpg	85	343	982
SF1547.1.mpg	99	375	1049
SF3358.1.mpg	66	394	941
SF1556.1.mpg	69	333	859
SF1526B.1.mpg	57	227	682
SF1545.1.mpg	25	105	274
SF1535.1.mpg	85	346	939
SF1549.1.mpg	101	350	980
SF1523A.1.mpg	16	52	156
SF1524B.1.mpg	54	194	599
SF1522A.1.mpg	34	188	374
SF1536.1.mpg	45	197	483
SF1526C.1.mpg	94	238	912
SF1527.1.mpg	80	348	1046
SF1539A.1.mpg	61	227	645
SF1561.1.mpg	77	322	867
SF3131.1.mpg	92	249	717
SF1541A.1.mpg	72	223	711
SF1543.1.mpg	84	272	773
SF1564A.1.mpg	61	203	630
SF1520.1.mpg	45	154	447
SF1519.1.mpg	76	307	848
SF1531A.1.mpg	92	342	1017
SF1555.1.mpg	85	414	1181
SF1553.1.mpg	87	342	905
SF1523B.1.mpg	80	280	786
SF3253B.1.mpg	61	238	593
SF1521.1.mpg	124	311	905
SF1560.1.mpg	51	194	589
SF1526A.1.mpg	92	325	1000
SF3253D.1.mpg	45	241	482
SF1542A.1.mpg	46	183	498
SF1533.1.mpg	64	233	710
SF3253C.1.mpg	51	193	522
SF1529A.1.mpg	58	261	773
SF1558B.1.mpg	16	112	287
SF3245.1.mpg	158	484	1303
SF1540A.1.mpg	56	188	523
SF1544A.1.mpg	51	155	446
SF1563.1.mpg	67	295	855
SF1558A.1.mpg	44	161	389
SF1559.1.mpg	91	310	845
SF1524A.1.mpg	66	195	601
SF1516B.1.mpg	64	137	590
SF1562.1.mpg	62	284	814
SF3243.1.mpg	101	379	1051
SF1557.1.mpg	50	203	581
SF1518.1.mpg	55	197	585
SF3253A.1.mpg	33	98	257
SF3244.1.mpg	147	518	1637
SF1564B.1.mpg	107	303	1113
SF1550B-C.1.mpg	94	655	1388
SF1531B.1.mpg	44	371	689
SF1528A.1.mpg	58	238	692
SF1522B.1.mpg	47	192	514
SF3103A-C.1.mpg	338	934	2965
SF1546.1.mpg	85	380	1131
SF3318.1.mpg	83	199	776
SF1554.1.mpg	70	332	954
SF1550A.1.mpg	38	155	458
SF1530.1.mpg	89	361	1109
SF1529B.1.mpg	47	259	710
SF1537.1.mpg	50	195	562
SF1548.1.mpg	82	368	1011
SF1551.1.mpg	48	174	478
SF1538.1.mpg	51	167	505
SF505.1.mpg	1	2	7
SF1636.1.mpg	96	455	1398
SF1650.1.mpg	147	545	1635
SF3293.1.mpg	126	432	1373
SF1634.1.mpg	105	540	1639
SF1621A.1.mpg	96	408	1173
SF1612A.1.mpg	37	218	649
SF1647A.1.mpg	115	556	1681
SF1628.1.mpg	56	142	464
SF1611.1.mpg	93	436	1256
SF1617.1.mpg	98	323	1080
SF1609.1.mpg	75	313	1008
SF1616B.1.mpg	9	45	138
SF1638.1.mpg	65	344	910
SF1610.1.mpg	68	297	924
SF1624B.1.mpg	73	275	847
SF1641.1.mpg	88	397	1272
SF1614.1.mpg	103	419	1222
SF1621B.1.mpg	41	174	451
SF1639.1.mpg	151	503	1674
SF1619.1.mpg	96	417	1221
SF1624A.1.mpg	56	295	838
SF1635A.1.mpg	62	306	928
SF3298A-B.1.mpg	70	539	1287
SF1627.1.mpg	78	294	943
SF1606C.1.mpg	79	491	1249
SF1640.1.mpg	81	399	1218
SF3261A-E.1.mpg	199	867	2305
SF3295.1.mpg	88	228	769
SF1647B.1.mpg	42	206	391
SF1616A.1.mpg	63	295	923
SF1626B.1.mpg	19	85	234
SF1618A.1.mpg	72	306	886
SF1623.1.mpg	97	308	1032
SF1637A.1.mpg	122	493	1393
SF2822.1.mpg	114	332	884
SF1629A.1.mpg	46	180	460
SF1646.1.mpg	33	221	466
SF3294.1.mpg	138	347	1201
SF1612B.1.mpg	84	324	982
SF1626A.1.mpg	67	354	972
SF1644.1.mpg	117	460	1402
SF1649.1.mpg	77	367	1091
SF1648.1.mpg	73	392	1092
SF1645.1.mpg	110	396	1322
SF1625.1.mpg	84	400	1192
SF1643.1.mpg	80	416	1115
SF1608.1.mpg	82	330	1063
SF1633A.1.mpg	86	422	1240
SF1607B.1.mpg	18	69	205
SF1629C.1.mpg	2	1	6
SF3219.1.mpg	67	253	759
SF3292.1.mpg	144	312	921
SF1642.1.mpg	72	292	879
SF1622A.1.mpg	92	400	1142
SF1630A.1.mpg	95	467	1321
SF1631A.1.mpg	86	404	1286
SF1632.1.mpg	112	484	1497
SF1613.1.mpg	154	489	1493
SF1620.1.mpg	60	303	733
SF3304.1.mpg	6	0	6
SF2851.1.mpg	94	409	1251
SF2868A-E.1.mpg	224	1088	3166
SF1926.1.mpg	84	710	1425
SF2885A.1.mpg	128	309	1278
SF2878.1.mpg	85	418	1450
SF969.1.mpg	17	104	335
SF970B.1.mpg	39	119	513
SF2906.1.mpg	81	440	1223
